CallID,AgentID,Timestamp,WaitTime,TalkTime,HoldTime,IsResolved,CallReason
5000,107,2025-01-11 09:00:00,36,606,114,0,General Account Update
5001,168,2025-01-14 08:00:00,12,637,103,0,General Account Update
5002,160,2025-01-15 15:00:00,243,236,85,1,General Inquiry
5003,101,2025-01-23 17:00:00,243,263,16,1,Technical Issue
5004,135,2025-01-07 14:00:00,94,342,36,1,Account Access
5005,119,2025-01-12 17:00:00,330,408,130,1,Account Access
5006,169,2025-01-13 09:00:00,398,436,51,1,Billing Query
5007,123,2025-01-04 12:00:00,499,330,26,1,Cancel Service
5008,170,2025-02-10 14:00:00,57,821,150,1,General Account Update
5009,156,2025-02-23 17:00:00,283,427,47,0,Billing Query
5010,145,2025-01-14 15:00:00,41,263,74,1,Cancel Service
5011,163,2025-02-14 12:00:00,436,394,28,1,Cancel Service
5012,110,2025-02-26 09:00:00,308,500,106,1,Account Access
5013,138,2025-02-10 11:00:00,164,240,104,1,General Inquiry
5014,134,2025-02-20 17:00:00,62,835,150,0,General Account Update
5015,114,2025-02-13 11:00:00,209,318,76,1,Cancel Service
5016,131,2025-01-10 17:00:00,381,705,63,0,General Account Update
5017,165,2025-01-29 17:00:00,142,504,131,1,Account Access
5018,134,2025-02-13 15:00:00,147,530,21,1,Account Access
5019,135,2025-01-03 12:00:00,313,446,112,1,Technical Issue
5020,170,2025-01-27 16:00:00,499,542,56,0,General Account Update
5021,148,2025-02-04 19:00:00,252,509,8,1,Technical Issue
5022,106,2025-01-12 14:00:00,454,476,19,1,Cancel Service
5023,175,2025-01-07 13:00:00,369,407,22,1,Technical Issue
5024,109,2025-02-05 17:00:00,353,463,106,1,Account Access
5025,176,2025-01-06 14:00:00,97,371,41,1,Billing Query
5026,115,2025-02-21 08:00:00,89,404,41,0,Technical Issue
5027,170,2025-01-26 14:00:00,98,503,3,1,Technical Issue
5028,136,2025-01-26 14:00:00,131,487,25,1,Cancel Service
