SurveyID,CallID,CSAT_Score,FeedbackText
20004,5004,5,"Quick and easy, thanks!"
20008,5008,1,The new account update process is confusing. Agent tried their best.
20009,5009,1,Issue not resolved after a long conversation.
20012,5012,4,"Quick and easy, thanks!"
20013,5013,5,"Quick and easy, thanks!"
20017,5017,4,"Quick and easy, thanks!"
20018,5018,5,"Quick and easy, thanks!"
20025,5025,5,"Quick and easy, thanks!"
20027,5027,4,"Quick and easy, thanks!"
20035,5035,4,"Quick and easy, thanks!"
20036,5036,4,"Quick and easy, thanks!"
20037,5037,5,"Quick and easy, thanks!"
20038,5038,4,"Quick and easy, thanks!"
20041,5041,5,"Quick and easy, thanks!"
20043,5043,5,"Quick and easy, thanks!"
20046,5046,2,Wait time was unacceptable.
20047,5047,1,Issue not resolved after a long conversation.
20050,5050,5,"Quick and easy, thanks!"
20054,5054,5,"Quick and easy, thanks!"
20057,5057,4,"Quick and easy, thanks!"
20058,5058,2,Issue not resolved after a long conversation.
20062,5062,4,"Quick and easy, thanks!"
20064,5064,3,Wait time was unacceptable.
20069,5069,4,"Quick and easy, thanks!"
20070,5070,3,Wait time was unacceptable.
20076,5076,4,"Quick and easy, thanks!"
20081,5081,2,Wait time was unacceptable.
20084,5084,3,The new account update process is confusing. Agent tried their best.
20088,5088,4,"Quick and easy, thanks!"
20096,5096,5,"Quick and easy, thanks!"
20098,5098,4,"Quick and easy, thanks!"
20100,5100,2,Issue not resolved after a long conversation.
20102,5102,5,"Quick and easy, thanks!"
20105,5105,5,"Quick and easy, thanks!"
20108,5108,2,Wait time was unacceptable.
20109,5109,2,The new account update process is confusing. Agent tried their best.
20110,5110,2,Issue not resolved after a long conversation.
20114,5114,5,"Quick and easy, thanks!"
20116,5116,5,"Quick and easy, thanks!"
20118,5118,4,"Quick and easy, thanks!"
20120,5120,3,Wait time was unacceptable.
20122,5122,5,"Quick and easy, thanks!"
20123,5123,4,"Quick and easy, thanks!"
20129,5129,4,"Quick and easy, thanks!"
20135,5135,4,"Quick and easy, thanks!"
20136,5136,1,Issue not resolved after a long conversation.
20139,5139,5,"Quick and easy, thanks!"
20140,5140,5,"Quick and easy, thanks!"
20142,5142,3,The new account update process is confusing. Agent tried their best.
20145,5145,5,"Quick and easy, thanks!"
20147,5147,1,The new account update process is confusing. Agent tried their best.
20148,5148,5,"Quick and easy, thanks!"
20149,5149,5,"Quick and easy, thanks!"
20151,5151,2,The new account update process is confusing. Agent tried their best.
20152,5152,3,The new account update process is confusing. Agent tried their best.
20154,5154,5,"Quick and easy, thanks!"
20158,5158,5,"Quick and easy, thanks!"
20163,5163,4,"Quick and easy, thanks!"
20164,5164,5,"Quick and easy, thanks!"
20171,5171,4,"Quick and easy, thanks!"
20173,5173,5,"Quick and easy, thanks!"
20177,5177,1,Issue not resolved after a long conversation.
20180,5180,2,The new account update process is confusing. Agent tried their best.
20183,5183,2,Issue not resolved after a long conversation.
20184,5184,5,"Quick and easy, thanks!"
20185,5185,4,"Quick and easy, thanks!"
20186,5186,1,Issue not resolved after a long conversation.
20187,5187,4,"Quick and easy, thanks!"
20189,5189,5,"Quick and easy, thanks!"
20196,5196,1,The new account update process is confusing. Agent tried their best.
20198,5198,1,Issue not resolved after a long conversation.
20199,5199,1,Issue not resolved after a long conversation.
20200,5200,3,Wait time was unacceptable.
20201,5201,3,Wait time was unacceptable.
20202,5202,4,"Quick and easy, thanks!"
20204,5204,5,"Quick and easy, thanks!"
20206,5206,4,"Quick and easy, thanks!"
20207,5207,5,"Quick and easy, thanks!"
20211,5211,5,"Quick and easy, thanks!"
20214,5214,4,"Quick and easy, thanks!"
20215,5215,2,Issue not resolved after a long conversation.
20217,5217,1,The new account update process is confusing. Agent tried their best.
20218,5218,3,Wait time was unacceptable.
20219,5219,4,"Quick and easy, thanks!"
20220,5220,3,The new account update process is confusing. Agent tried their best.
20222,5222,2,Issue not resolved after a long conversation.
20230,5230,2,Wait time was unacceptable.
20231,5231,4,"Quick and easy, thanks!"
20236,5236,5,"Quick and easy, thanks!"
20237,5237,2,Issue not resolved after a long conversation.
20239,5239,2,Issue not resolved after a long conversation.
20241,5241,5,"Quick and easy, thanks!"
20242,5242,1,The new account update process is confusing. Agent tried their best.
20243,5243,1,Issue not resolved after a long conversation.
20247,5247,4,"Quick and easy, thanks!"
20248,5248,1,Issue not resolved after a long conversation.
20250,5250,5,"Quick and easy, thanks!"
20251,5251,4,"Quick and easy, thanks!"
20256,5256,3,Wait time was unacceptable.
20258,5258,2,Issue not resolved after a long conversation.
20262,5262,4,"Quick and easy, thanks!"
20263,5263,4,"Quick and easy, thanks!"
20265,5265,2,Issue not resolved after a long conversation.
20268,5268,2,Wait time was unacceptable.
20270,5270,4,"Quick and easy, thanks!"
20274,5274,5,"Quick and easy, thanks!"
20275,5275,2,Issue not resolved after a long conversation.
20276,5276,5,"Quick and easy, thanks!"
20277,5277,1,Issue not resolved after a long conversation.
20278,5278,5,"Quick and easy, thanks!"
20284,5284,5,"Quick and easy, thanks!"
20289,5289,2,Wait time was unacceptable.
20296,5296,3,Wait time was unacceptable.
20302,5302,2,Wait time was unacceptable.
20303,5303,2,Issue not resolved after a long conversation.
20306,5306,2,Issue not resolved after a long conversation.
20309,5309,5,"Quick and easy, thanks!"
20310,5310,3,The new account update process is confusing. Agent tried their best.
20311,5311,4,"Quick and easy, thanks!"
20314,5314,1,The new account update process is confusing. Agent tried their best.
20315,5315,5,"Quick and easy, thanks!"
20317,5317,1,Issue not resolved after a long conversation.
20320,5320,3,Wait time was unacceptable.
20328,5328,5,"Quick and easy, thanks!"
20330,5330,4,"Quick and easy, thanks!"
20332,5332,5,"Quick and easy, thanks!"
20335,5335,5,"Quick and easy, thanks!"
20337,5337,2,Wait time was unacceptable.
20339,5339,1,Issue not resolved after a long conversation.
20340,5340,3,Wait time was unacceptable.
20341,5341,5,"Quick and easy, thanks!"
20342,5342,2,Wait time was unacceptable.
20343,5343,4,"Quick and easy, thanks!"
20345,5345,2,Issue not resolved after a long conversation.
20347,5347,2,Issue not resolved after a long conversation.
20348,5348,2,Issue not resolved after a long conversation.
20350,5350,2,Wait time was unacceptable.
20354,5354,2,Issue not resolved after a long conversation.
20357,5357,5,"Quick and easy, thanks!"
20361,5361,2,Wait time was unacceptable.
20367,5367,2,Issue not resolved after a long conversation.
20368,5368,3,Wait time was unacceptable.
20369,5369,5,"Quick and easy, thanks!"
20374,5374,1,Issue not resolved after a long conversation.
20375,5375,1,Issue not resolved after a long conversation.
20377,5377,5,"Quick and easy, thanks!"
20380,5380,5,"Quick and easy, thanks!"
20383,5383,5,"Quick and easy, thanks!"
20386,5386,2,Issue not resolved after a long conversation.
20393,5393,4,"Quick and easy, thanks!"
20395,5395,4,"Quick and easy, thanks!"
20397,5397,4,"Quick and easy, thanks!"
20400,5400,2,Issue not resolved after a long conversation.
20403,5403,5,"Quick and easy, thanks!"
20404,5404,5,"Quick and easy, thanks!"
20405,5405,2,Wait time was unacceptable.
20406,5406,2,Issue not resolved after a long conversation.
20408,5408,5,"Quick and easy, thanks!"
20409,5409,2,The new account update process is confusing. Agent tried their best.
20410,5410,2,Wait time was unacceptable.
20415,5415,3,Wait time was unacceptable.
20417,5417,2,Wait time was unacceptable.
20421,5421,5,"Quick and easy, thanks!"
20424,5424,2,Wait time was unacceptable.
20427,5427,1,Issue not resolved after a long conversation.
20428,5428,2,Issue not resolved after a long conversation.
20429,5429,4,"Quick and easy, thanks!"
20430,5430,4,"Quick and easy, thanks!"
20439,5439,4,"Quick and easy, thanks!"
20444,5444,1,Issue not resolved after a long conversation.
20450,5450,4,"Quick and easy, thanks!"
20453,5453,2,The new account update process is confusing. Agent tried their best.
20455,5455,3,Wait time was unacceptable.
20459,5459,5,"Quick and easy, thanks!"
20463,5463,4,"Quick and easy, thanks!"
20465,5465,4,"Quick and easy, thanks!"
20468,5468,5,"Quick and easy, thanks!"
20469,5469,1,Issue not resolved after a long conversation.
20470,5470,5,"Quick and easy, thanks!"
20471,5471,2,Issue not resolved after a long conversation.
20474,5474,3,Wait time was unacceptable.
20475,5475,4,"Quick and easy, thanks!"
20484,5484,2,Wait time was unacceptable.
20495,5495,1,Issue not resolved after a long conversation.
20496,5496,5,"Quick and easy, thanks!"
20498,5498,5,"Quick and easy, thanks!"
20499,5499,3,Wait time was unacceptable.
20502,5502,5,"Quick and easy, thanks!"
20506,5506,4,"Quick and easy, thanks!"
20509,5509,1,Issue not resolved after a long conversation.
20514,5514,4,"Quick and easy, thanks!"
20515,5515,2,Wait time was unacceptable.
20517,5517,5,"Quick and easy, thanks!"
20520,5520,2,Wait time was unacceptable.
20522,5522,3,Wait time was unacceptable.
20523,5523,5,"Quick and easy, thanks!"
20525,5525,1,Issue not resolved after a long conversation.
20530,5530,5,"Quick and easy, thanks!"
20531,5531,5,"Quick and easy, thanks!"
20536,5536,3,Wait time was unacceptable.
20541,5541,2,Issue not resolved after a long conversation.
20548,5548,2,Wait time was unacceptable.
20550,5550,2,Wait time was unacceptable.
20553,5553,2,Issue not resolved after a long conversation.
20555,5555,4,"Quick and easy, thanks!"
20560,5560,1,Issue not resolved after a long conversation.
20564,5564,4,"Quick and easy, thanks!"
20565,5565,2,Wait time was unacceptable.
20569,5569,4,"Quick and easy, thanks!"
20573,5573,5,"Quick and easy, thanks!"
20580,5580,5,"Quick and easy, thanks!"
20581,5581,2,Wait time was unacceptable.
20583,5583,3,Wait time was unacceptable.
20586,5586,5,"Quick and easy, thanks!"
20588,5588,5,"Quick and easy, thanks!"
20593,5593,4,"Quick and easy, thanks!"
20597,5597,4,"Quick and easy, thanks!"
20600,5600,1,Issue not resolved after a long conversation.
20601,5601,5,"Quick and easy, thanks!"
20602,5602,3,The new account update process is confusing. Agent tried their best.
20605,5605,2,The new account update process is confusing. Agent tried their best.
20607,5607,5,"Quick and easy, thanks!"
20610,5610,3,Wait time was unacceptable.
20616,5616,3,Wait time was unacceptable.
20618,5618,2,Wait time was unacceptable.
20619,5619,2,Issue not resolved after a long conversation.
20620,5620,3,Wait time was unacceptable.
20621,5621,4,"Quick and easy, thanks!"
20622,5622,5,"Quick and easy, thanks!"
20623,5623,3,The new account update process is confusing. Agent tried their best.
20624,5624,2,Wait time was unacceptable.
20626,5626,5,"Quick and easy, thanks!"
20629,5629,3,Wait time was unacceptable.
20633,5633,1,Issue not resolved after a long conversation.
